State_Name,State_ab,Zip_Code,Mean
Alabama,AL,36611,38773
Alabama,AL,36048,37725
Alabama,AL,35051,54606
Alabama,AL,36572,63919
Alabama,AL,36528,77948
Alabama,AL,35057,50715
Alabama,AL,36426,33737
Alabama,AL,36020,46319
Alabama,AL,35621,57994
Alabama,AL,35151,54807
Alabama,AL,35986,47929
Alabama,AL,35901,42251
Alabama,AL,36033,27993
Alabama,AL,35136,31229
Alabama,AL,36744,36439
Alabama,AL,35563,56934
Alabama,AL,36344,41057
Alabama,AL,35080,93682
Alabama,AL,35903,57202
Alabama,AL,36467,49699
Alabama,AL,35954,51926
Alabama,AL,35576,44572
Alabama,AL,35771,56029
Alabama,AL,36420,51098
Alabama,AL,36455,45465
Alabama,AL,36553,67392
Alabama,AL,36750,43767
Alabama,AL,35064,48074
Alabama,AL,36606,53330
Alabama,AL,35650,42079
Alabama,AL,35661,60729
Alabama,AL,36765,32466
Alabama,AL,35476,62410
Alabama,AL,36801,55199
Alabama,AL,35477,22603
Alabama,AL,36867,86605
Alabama,AL,36022,63066
Alabama,AL,36067,53597
Alabama,AL,35582,39220
Alabama,AL,36421,39218
Alabama,AL,35049,55127
Alabama,AL,36572,59567
Alabama,AL,35143,63758
Alabama,AL,36877,57098
Alabama,AL,35581,72297
Alabama,AL,35148,51907
Alabama,AL,36078,55849
Alabama,AL,36619,55230
Alabama,AL,35406,55815
Alabama,AL,36854,49554
Alabama,AL,35178,0
Alabama,AL,36850,71026
Alabama,AL,35057,58314
Alabama,AL,36280,48217
Alabama,AL,36276,14741
Alabama,AL,35442,28347
Alabama,AL,35120,242857
Alabama,AL,36830,59694
Alabama,AL,36509,50047
Alabama,AL,35022,41239
Alabama,AL,35443,32777
Alabama,AL,35548,33353
Alabama,AL,35040,65576
Alabama,AL,35447,41709
Alabama,AL,35004,45862
Alabama,AL,35120,62222
Alabama,AL,35242,90262
Alabama,AL,35242,92018
Alabama,AL,35043,78399
Alabama,AL,35114,85122
Alabama,AL,36271,66000
Alabama,AL,35477,34064
Alabama,AL,35160,38882
Alabama,AL,35150,40948
Alabama,AL,36853,48421
Alabama,AL,35475,77977
Alabama,AL,35404,37965
Alabama,AL,35401,24931
Alabama,AL,35404,60252
Alabama,AL,35404,53301
Alabama,AL,35578,40072
Alabama,AL,36863,35951
Alabama,AL,36558,48623
Alabama,AL,35541,49046
Alabama,AL,36067,58180
Alabama,AL,36025,41464
Alabama,AL,36051,59061
Alabama,AL,36562,55216
Alabama,AL,36507,36474
Alabama,AL,36526,107603
Alabama,AL,36551,50583
Alabama,AL,36567,69996
Alabama,AL,35045,56638
Alabama,AL,36532,67864
Alabama,AL,36535,71445
Alabama,AL,36547,65583
Alabama,AL,36535,49212
Alabama,AL,32506,57395
Alabama,AL,36016,56947
Alabama,AL,36027,43222
Alabama,AL,35034,67555
Alabama,AL,35121,34855
Alabama,AL,35049,56385
Alabama,AL,36908,53998
Alabama,AL,35031,47717
Alabama,AL,35079,58684
Alabama,AL,36089,30765
Alabama,AL,36037,30564
Alabama,AL,36456,36333
Alabama,AL,36201,27581
Alabama,AL,36207,55336
Alabama,AL,36203,54371
Alabama,AL,36201,49509
Alabama,AL,36265,46650
Alabama,AL,36545,40352
Alabama,AL,36265,33803
Alabama,AL,36272,35282
Alabama,AL,36250,72487
Alabama,AL,36250,0
Alabama,AL,36862,45966
Alabama,AL,36863,38000
Alabama,AL,36854,44019
Alabama,AL,35983,57239
Alabama,AL,36275,51542
Alabama,AL,35045,54388
Alabama,AL,36346,47550
Alabama,AL,35085,40648
Alabama,AL,36091,67265
Alabama,AL,36904,55952
Alabama,AL,36784,40451
Alabama,AL,36567,64173
Alabama,AL,36451,50714
Alabama,AL,36545,40592
Alabama,AL,36251,44628
Alabama,AL,36264,31459
Alabama,AL,36346,51782
Alabama,AL,36453,46792
Alabama,AL,36330,88951
Alabama,AL,36330,61449
Alabama,AL,35660,51659
Alabama,AL,35674,46357
Alabama,AL,35662,72532
Alabama,AL,35646,51460
Alabama,AL,35674,44527
Alabama,AL,36432,31633
Alabama,AL,35136,33042
Alabama,AL,36421,53559
Alabama,AL,36421,58835
Alabama,AL,35661,61868
Alabama,AL,36467,46327
Alabama,AL,36467,60141
Alabama,AL,36049,40683
Alabama,AL,35019,61900
Alabama,AL,35179,53673
Alabama,AL,35055,63213
Alabama,AL,35055,37893
Alabama,AL,35055,44858
Alabama,AL,35070,43726
Alabama,AL,36362,68310
Alabama,AL,36401,34206
Alabama,AL,36360,65625
Alabama,AL,36360,31645
Alabama,AL,36322,58239
Alabama,AL,36350,42703
Alabama,AL,36703,65458
Alabama,AL,36701,23614
Alabama,AL,36767,30567
Alabama,AL,36701,26582
Alabama,AL,36986,47226
Alabama,AL,35971,41338
Alabama,AL,36421,42170
Alabama,AL,35962,50821
Alabama,AL,35967,46422
Alabama,AL,35967,57662
Alabama,AL,36022,55257
Alabama,AL,36024,51818
Alabama,AL,36092,81059
Alabama,AL,36054,57221
Alabama,AL,36426,42831
Alabama,AL,36426,63662
Alabama,AL,36504,31072
Alabama,AL,36041,51077
Alabama,AL,35901,36536
